mode,speedup,latency,vbench,quality,semantic,psnr,ssim,lpips
dicache_baseline,1.00x,1265s,0.823473,0.845602,0.734956,-,-,-
dicache_fixed_0.05,1.92x,658s,0.823744,0.851949,0.710922,-,-,-
dicache_fixed_0.10,3.02x,419s,0.816793,0.851887,0.676418,-,-,-
dicache_fixed_0.15,3.65x,346s,0.824883,0.847806,0.733191,-,-,-
dicache_fixed_0.20,4.42x,286s,0.814471,0.842295,0.703178,-,-,-
dicache_fixed_0.25,5.05x,250s,0.805960,0.841759,0.662766,-,-,-
dicache_fixed_0.30,5.59x,226s,0.807700,0.842601,0.668097,-,-,-
dicache_fixed_0.35,6.25x,202s,0.763163,0.806529,0.589697,-,-,-
dicache_fixed_0.40,6.79x,186s,0.749989,0.784913,0.610294,-,-,-
dicache_fixed_0.60,7.69x,164s,0.635090,0.697850,0.384051,-,-,-
dicache_adaptive_0.05_0.20,2.72x,465s,0.822214,0.849520,0.712988,-,-,-
dicache_adaptive_0.10_0.30,3.87x,326s,0.802284,0.843964,0.635564,-,-,-
dicache_adaptive_0.15_0.40,4.60x,275s,0.785787,0.829068,0.612661,-,-,-
