Video,subject_consistency,background_consistency,temporal_flickering,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality,temporal_style,overall_consistency
adaptive_0.05_0.2,0.9538781011942774,0.9591083526611328,0.9778225711747712,0.9883338097329478,1.0,0.7388843894004822,0.6869681132116984,0.2955579459667206,0.2955579459667206
adaptive_0.05_0.3,0.892284742789343,0.9744796752929688,0.992780803231632,0.9952604102526172,1.0,0.6414739489555359,0.515624147755231,0.2810620963573456,0.2810620963573456
adaptive_0.0_0.3,0.892284742789343,0.9744796752929688,0.992780803231632,0.9952604102526172,1.0,0.6414739489555359,0.515624147755231,0.2810620963573456,0.2810620963573456
adaptive_0.15_0.3,0.889483722159639,0.9699172973632812,0.9931733991585526,0.9952428067373676,1.0,0.643465518951416,0.47847220457801526,0.2856660783290863,0.2856660783290863
adaptive_0.1_0.3,0.8897673385217786,0.9714412689208984,0.9927874658621993,0.99518346387332,1.0,0.6472180485725403,0.48820594137029133,0.2838481068611145,0.2838481068611145
adaptive_0.2_0.3,0.9253990887664258,0.9773101806640625,0.9930798268785663,0.9951166618999329,1.0,0.6508749723434448,0.47184110360552173,0.28975290060043335,0.28975290060043335
fixed_0.1,0.8949288392905146,0.9663543701171875,0.9926147685331457,0.9952060691738654,1.0,0.6505478024482727,0.5098376674799956,0.2839145064353943,0.2839145064353943
fixed_0.2,0.9247581318486482,0.9770641326904297,0.9928512203927133,0.9950703054914777,1.0,0.6544013619422913,0.48147074470224305,0.28939521312713623,0.28939521312713623
fixed_0.3,0.9076971348840743,0.9768352508544922,0.9920034632963293,0.994607346791511,1.0,0.6528761982917786,0.48470839655676556,0.2921067178249359,0.2921067178249359
my_policy_0.30,0.9477334311231971,0.9528045654296875,0.9696098589429668,0.9831965279545553,1.0,0.7299711108207703,0.6592353649287261,0.35786059498786926,0.35786059498786926
nocache,0.8980923721101135,0.9738407135009766,0.9925113280614217,0.9952414633851012,1.0,0.6545838713645935,0.5374908630607664,0.28187060356140137,0.28187060356140137
teacache_0.10,0.9658382786437869,0.9839305877685547,0.9745182560939415,0.979904689141058,1.0,0.7060492038726807,0.707216998846956,0.37467366456985474,0.37467366456985474
teacache_0.20,0.8897077888250351,0.9346981048583984,0.9685752345066444,0.9755417732102862,1.0,0.6345924735069275,0.5899792554396991,0.30588585138320923,0.30588585138320923
teacache_0.30,0.9312331227120012,0.9477577209472656,0.9633533215990253,0.9705515739561181,1.0,0.7324039936065674,0.708785155244576,0.34152019023895264,0.34152019023895264
